,ETH,aret,aret_1,total_return_5y,volatility_5y,max_drawdown_5y
2015-08-08,0.6875857090838133,-0.4833096305964206,0.5166903694035794,,,
2015-08-10,1.067378879429946,0.5523575684145547,1.5523575684145547,,,
2015-08-11,1.256613175101658,0.1772887765708615,1.1772887765708615,,,
2015-08-12,1.825395446319752,0.4526311537136958,1.4526311537136958,,,
2015-08-13,1.825974891355639,0.00031743534643702276,1.000317435346437,,,
2015-08-14,1.670949668937766,-0.08489997488562362,0.9151000251143764,,,
2015-08-15,1.476607254205028,-0.11630656407280238,0.8836934359271976,,,
2015-08-16,1.20387143115441,-0.18470437706027165,0.8152956229397283,,,
2015-08-17,1.281393051659975,0.06439360424993912,1.0643936042499391,,,
2015-08-18,1.252738651679077,-0.022361913031897385,0.9776380869681026,,,
2015-08-19,1.484195074171873,0.18476034261621055,1.1847603426162105,,,
2015-08-20,1.40631477379752,-0.05247308910374027,0.9475269108962597,,,
2015-08-21,1.380721536476638,-0.01819879716670514,0.9818012028332949,,,
2015-08-22,1.355182100454404,-0.018497166407215104,0.9815028335927849,,,
2015-08-23,1.24657168269902,-0.08014451911589293,0.9198554808841071,,,
2015-08-24,1.160828327907264,-0.06878333270503023,0.9312166672949698,,,
2015-08-25,1.119639156482987,-0.03548256915691628,0.9645174308430837,,,
2015-08-26,1.133690694008804,0.012550059047555795,1.0125500590475558,,,
2015-08-27,1.188895698722608,0.048694943872737984,1.048694943872738,,,
2015-08-28,1.174343905252208,-0.012239756175445038,0.987760243824555,,,
2015-08-29,1.322350879918967,0.1260337572365331,1.126033757236533,,,
2015-08-30,1.353368417391325,0.02345635938493018,1.0234563593849302,,,
2015-08-31,1.350786688734447,-0.001907631819762945,0.998092368180237,,,
2015-09-01,1.278810765308764,-0.053284448259641515,0.9467155517403585,,,
2015-09-02,1.262770719520856,-0.012542939286279142,0.9874570607137209,,,
2015-09-03,1.269520099878085,0.005344897733920995,1.005344897733921,,,
2015-09-04,1.334976229386974,0.05155974254773521,1.0515597425477352,,,
2015-09-05,1.29888313413515,-0.027036507809879096,0.9729634921901209,,,
2015-09-06,1.256223439965584,-0.03284336600303206,0.9671566339969679,,,
2015-09-07,1.236033260936938,-0.016072124103335583,0.9839278758966644,,,
2015-09-08,1.206529945086729,-0.02386935431482229,0.9761306456851777,,,
2015-09-09,1.167234841402144,-0.03256869325506906,0.9674313067449309,,,
2015-09-10,0.976509092691504,-0.16339963642751643,0.8366003635724836,,,
2015-09-11,1.038203585306107,0.06317861561796367,1.0631786156179637,,,
2015-09-12,0.9386521502557872,-0.09588816341928519,0.9041118365807148,,,
2015-09-13,0.87402296242848,-0.0688531825231482,0.9311468174768518,,,
2015-09-14,0.9418231857274298,0.0775725881509639,1.077572588150964,,,
2015-09-15,0.9032199195724052,-0.040987806140288296,0.9590121938597117,,,
2015-09-16,0.8830787289063511,-0.022299320718689675,0.9777006792813103,,,
2015-09-17,0.8460709193872474,-0.041907712537630704,0.9580922874623693,,,
2015-09-18,0.8821037996855977,0.042588486937296555,1.0425884869372966,,,
2015-09-19,0.9363277614869444,0.061471180399260694,1.0614711803992607,,,
2015-09-20,0.9010928790890972,-0.03763092780875377,0.9623690721912462,,,
2015-09-21,0.8971422650551497,-0.004384247313041767,0.9956157526869582,,,
2015-09-22,0.8940475222994914,-0.0034495563036126553,0.9965504436963873,,,
2015-09-23,0.8160373080893036,-0.08725510922455815,0.9127448907754419,,,
2015-09-24,0.7405192998515878,-0.09254234762199309,0.9074576523780069,,,
2015-09-25,0.7778014991497727,0.05034601975351194,1.050346019753512,,,
2015-09-26,0.7213584231130563,-0.0725674559619841,0.9274325440380159,,,
2015-09-27,0.5830570046974366,-0.19172357871524315,0.8082764212847569,,,
2015-09-28,0.657832489515796,0.12824729694682646,1.1282472969468265,,,
2015-09-29,0.7347630535971914,0.11694552231377453,1.1169455223137745,,,
2015-09-30,0.6858121897138929,-0.06662129191669197,0.933378708083308,,,
2015-10-01,0.6762217338750541,-0.013984084830629406,0.9860159151693706,,,
2015-10-02,0.6874757575411915,0.016642505116845063,1.016642505116845,,,
2015-10-03,0.6675468579375702,-0.028988512518461018,0.971011487481539,,,
2015-10-04,0.6282550742429386,-0.058859963502826074,0.9411400364971739,,,
2015-10-05,0.64565776230867,0.02770003582812608,1.027700035828126,,,
2015-10-06,0.6100126973575233,-0.05520736686211458,0.9447926331378854,,,
2015-10-07,0.6234833021554507,0.02208249903039694,1.022082499030397,,,
2015-10-08,0.650768764684828,0.04376294029855887,1.0437629402985589,,,
2015-10-09,0.6297949417268295,-0.03222930185986461,0.9677706981401354,,,
2015-10-10,0.6370439806918999,0.01151015748903017,1.0115101574890302,,,
2015-10-11,0.628787281832734,-0.012960955772940874,0.9870390442270591,,,
2015-10-12,0.6026272723327593,-0.04160391002776942,0.9583960899722306,,,
2015-10-13,0.517689435598842,-0.14094588916483064,0.8590541108351694,,,
2015-10-14,0.5614990042588522,0.08462519349913555,1.0846251934991356,,,
2015-10-15,0.5331480200007419,-0.0504916020207945,0.9495083979792055,,,
2015-10-16,0.5490283089973744,0.029785891348917293,1.0297858913489173,,,
2015-10-17,0.5184445473595721,-0.05570525442240637,0.9442947455775936,,,
2015-10-18,0.4870672984193326,-0.06052189978666611,0.9394781002133339,,,
2015-10-19,0.4329785990312485,-0.11104974520690836,0.8889502547930916,,,
2015-10-20,0.4397689744048958,0.01568293534331766,1.0156829353433177,,,
2015-10-21,0.5654615066780281,0.2858149155320062,1.2858149155320062,,,
