,ETH,aret,aret_1,total_return_5y,volatility_5y,max_drawdown_5y
2015-08-31,1.314147699780223,0.020138029528510095,1.02013802952851,,,
2015-09-30,0.9646819491746951,-0.01968244730877473,0.9803175526912253,,,
2015-10-31,0.6714214712136767,0.018941832795114473,1.0189418327951145,,,
2015-11-30,0.9234417872167876,-0.004519898574548098,0.9954801014254518,,,
2015-12-31,0.8886759418125163,0.0031005635497599678,1.0031005635497598,,,
2016-01-31,1.5212655434554931,0.03085821882827971,1.0308582188282798,,,
2016-02-29,4.688027397900944,0.04906097957023771,1.0490609795702377,,,
2016-03-31,11.253656679600104,0.018439803105922404,1.0184398031059223,,,
2016-04-30,8.882170893881971,-0.007279563134146531,0.9927204368658535,,,
2016-05-31,11.49731470106879,0.016494967531417506,1.0164949675314174,,,
2016-06-30,14.276672577233457,0.0005117151011835223,1.0005117151011835,,,
2016-07-31,11.790254827643043,-0.0018048141826435586,0.9981951858173564,,,
2016-08-31,11.102650643282782,0.005245593860332939,1.0052455938603329,,,
2016-09-30,12.49122568616366,0.0037873502039176055,1.0037873502039176,,,
2016-10-31,11.975807412526644,-0.006192463057881022,0.993807536942119,,,
2016-11-30,9.879061804871219,-0.007737113301083931,0.992262886698916,,,
2016-12-31,7.797389773513617,-0.0004560102532928862,0.9995439897467072,,,
2017-01-31,10.21524094013025,0.010212617271669215,1.0102126172716692,,,
2017-02-28,12.581704930044648,0.017693331614279943,1.01769333161428,,,
2017-03-31,35.15797250746915,0.0413887412262524,1.0413887412262524,,,
2017-04-30,51.64541213523839,0.015962987316552317,1.0159629873165523,,,
2017-05-31,128.1426656996178,0.03798739280841645,1.0379873928084165,,,
2017-06-30,308.99749828367504,0.008339236657536664,1.0083392366575366,,,
2017-07-31,220.31332194419403,-0.0008198889198048002,0.9991801110801952,,,
2017-08-31,305.1555910701356,0.018011263831534664,1.0180112638315346,,,
2017-09-30,289.3630786445121,-0.005565206178742962,0.9944347938212571,,,
2017-10-31,305.2546150706628,-0.00040658511197083457,0.9995934148880291,,,
2017-11-30,364.844308670603,0.017028439654586284,1.0170284396545863,,,
2017-12-31,653.4066089306679,0.019020525885587267,1.0190205258855873,,,
2018-01-31,1128.2717831155908,0.014768597981938034,1.014768597981938,,,
2018-02-28,864.5503505863128,-0.007021185885546082,0.9929788141144539,,,
2018-03-31,621.0681731413157,-0.02335309539511733,0.9766469046048827,,,
2018-04-30,516.6180140105699,0.018809680854497392,1.0188096808544975,,,
2018-05-31,672.4753351648417,-0.0035086863238968495,0.9964913136761031,,,
2018-06-30,514.8262748520381,-0.007038864487656693,0.9929611355123433,,,
2018-07-31,459.5833057849755,-0.0006819263677113536,0.9993180736322886,,,
2018-08-31,320.50403909514574,-0.01266662001363202,0.9873333799863679,,,
2018-09-30,227.25309541472228,-0.004254612144572918,0.9957453878554271,,,
2018-10-31,210.4293782713052,-0.0044922352910491585,0.9955077647089509,,,
2018-11-30,169.8632963512766,-0.017007167922945723,0.9829928320770542,,,
2018-12-31,107.76484112621016,0.007149744155051913,1.0071497441550519,,,
2019-01-31,126.47324648798381,-0.005644702544049914,0.9943552974559501,,,
2019-02-28,126.51624324330437,0.009902228906450036,1.00990222890645,,,
2019-03-31,136.06807178999847,0.0017223082983932711,1.0017223082983933,,,
2019-04-30,165.1192111972377,0.005074351409021682,1.0050743514090217,,,
2019-05-31,219.99000822449682,0.018026533980705573,1.0180265339807055,,,
2019-06-30,274.6495500057684,0.004020307824420751,1.0040203078244208,,,
2019-07-31,248.3356130495549,-0.008038509666794617,0.9919614903332055,,,
2019-08-31,199.53059538429284,-0.007073349447726615,0.9929266505522734,,,
2019-09-30,185.71235674115607,0.002373975912333718,1.0023739759123338,,,
2019-10-31,178.66039451361326,0.0011860278540438696,1.0011860278540439,,,
2019-11-30,172.85636187065293,-0.005746162272721108,0.9942538377272788,,,
2019-12-31,137.24748294805812,-0.004705689504890225,0.9952943104951097,,,
2020-01-31,156.42222946874062,0.011325190882890412,1.0113251908828904,,,
2020-02-29,238.7129840607526,0.007974059592394696,1.0079740595923947,,,
2020-03-31,160.16123109832205,-0.009252745556065717,0.9907472544439343,,,
2020-04-30,171.24118084769367,0.015931774563527377,1.0159317745635275,,,
2020-05-31,207.35293738593242,0.004726387970179117,1.004726387970179,,,
2020-06-30,235.93197588619486,-0.0006150030305665115,0.9993849969694335,,,
2020-07-31,259.36258650134636,0.014276086501281086,1.0142760865012812,,,
2020-08-31,401.6192499316245,0.008323385888689076,1.008323385888689,317.38716522360266,1.176703127428681,-0.9421439618188613
2020-09-30,367.86188302674435,-0.004858210978916969,0.9951417890210831,413.221813799268,1.1671183716184028,-0.9421439618188613
2020-10-31,375.8482583174658,0.002588631368985085,1.0025886313689851,580.0628142841895,1.1515669134733935,-0.9421439618188613
2020-11-30,486.32502156425556,0.01645835409673463,1.0164583540967347,535.327790681375,1.1294250222664954,-0.9421439618188613
2020-12-31,623.4411368785879,0.006874232754823046,1.006874232754823,696.2670686760875,1.1301511124917099,-0.9421439618188613
2021-01-31,1202.5300017150137,0.021999324046903187,1.0219993240469032,816.2206266877527,1.135059865167135,-0.9421439618188613
2021-02-28,1701.025045185423,0.004124729476887218,1.0041247294768871,374.7197763884199,1.111738247005833,-0.9421439618188613
2021-03-31,1737.4959926832796,0.010731217312652962,1.0107312173126528,152.862115313949,1.0865239319941558,-0.9421439618188613
2021-04-30,2296.3386926308654,0.013346462110600928,1.013346462110601,263.91470635045806,1.0772905569610445,-0.9421439618188613
